date,price,return,log_return
2020-01-03,295.4447326660,-0.0075723211,-0.0076011367
2020-01-06,296.5718078613,0.0038148427,0.0038075847
2020-01-07,295.7379760742,-0.0028115679,-0.0028155278
2020-01-08,297.3141479492,0.0053296229,0.0053154707
2020-01-09,299.3300476074,0.0067803691,0.0067574858
2020-01-10,298.4687194824,-0.0028775198,-0.0028816678
2020-01-13,300.5215148926,0.0068777573,0.0068542134
2020-01-14,300.0632324219,-0.0015249573,-0.0015261212
2020-01-15,300.7412719727,0.0022596556,0.0022571064
2020-01-16,303.2429809570,0.0083184758,0.0082840679
2020-01-17,304.1868286133,0.0031125128,0.0031076789
2020-01-21,303.5912170410,-0.0019580452,-0.0019599647
2020-01-22,303.6278686523,0.0001207269,0.0001207196
2020-01-23,303.9761047363,0.0011469174,0.0011462602
2020-01-24,301.2728271484,-0.0088930595,-0.0089328388
2020-01-27,296.4435729980,-0.0160295045,-0.0161593667
2020-01-28,299.5501098633,0.0104793531,0.0104248253
2020-01-29,299.3026428223,-0.0008261290,-0.0008264705
2020-01-30,300.2739868164,0.0032453572,0.0032401024
2020-01-31,294.8215942383,-0.0181580584,-0.0183249391
2020-02-03,297.0116882324,0.0074285400,0.0074010842
2020-02-04,301.5385742188,0.0152414405,0.0151264567
2020-02-05,305.0206909180,0.0115478317,0.0114816644
2020-02-06,306.0470886230,0.0033650101,0.0033593611
2020-02-07,304.4158630371,-0.0053299824,-0.0053442374
2020-02-10,306.6884460449,0.0074653896,0.0074376615
2020-02-11,307.2200012207,0.0017332090,0.0017317087
2020-02-12,309.1993713379,0.0064428426,0.0064221762
2020-02-13,308.8694458008,-0.0010670317,-0.0010676014
2020-02-14,309.3642578125,0.0016020102,0.0016007284
2020-02-18,308.5670776367,-0.0025768335,-0.0025801592
2020-02-19,310.0424194336,0.0047812677,0.0047698737
2020-02-20,308.7686767578,-0.0041082852,-0.0041167474
2020-02-21,305.5888671875,-0.0102983554,-0.0103517504
2020-02-24,295.4538879395,-0.0331654073,-0.0337278502
2020-02-25,286.5009460449,-0.0303023323,-0.0307709389
2020-02-26,285.4471435547,-0.0036781815,-0.0036849627
2020-02-27,272.6272888184,-0.0449114837,-0.0459512556
2020-02-28,271.4818725586,-0.0042013999,-0.0042102506
2020-03-02,283.2387390137,0.0433062670,0.0423947734
2020-03-03,275.1289672852,-0.0286322830,-0.0290501831
2020-03-04,286.6933898926,0.0420327337,0.0411733571
2020-03-05,277.1632080078,-0.0332417217,-0.0338067855
2020-03-06,272.5815124512,-0.0165306773,-0.0166688336
2020-03-09,251.2943115234,-0.0780948082,-0.0813128895
2020-03-10,264.2975158691,0.0517449212,0.0504506146
2020-03-11,251.4134521484,-0.0487483345,-0.0499766190
2020-03-12,227.3589324951,-0.0956771384,-0.1005688345
2020-03-13,246.7950286865,0.0854863980,0.0820281796
2020-03-16,219.7897491455,-0.1094239203,-0.1158867451
2020-03-17,231.6566619873,0.0539921124,0.0525849666
2020-03-18,219.9272308350,-0.0506328247,-0.0519596476
2020-03-19,220.3945465088,0.0021248650,0.0021226107
2020-03-20,210.8968200684,-0.0430941990,-0.0440503239
2020-03-23,205.5045623779,-0.0255682266,-0.0259007744
2020-03-24,224.1240081787,0.0906035642,0.0867312716
2020-03-25,227.4791564941,0.0149700532,0.0148591078
2020-03-26,240.7616119385,0.0583897692,0.0567486675
2020-03-27,233.5903930664,-0.0297855576,-0.0302381573
2020-03-30,241.1764068604,0.0324757097,0.0319595199
2020-03-31,237.5815734863,-0.0149054106,-0.0150176126
2020-04-01,226.8892364502,-0.0450049088,-0.0460490786
2020-04-02,232.1247558594,0.0230752216,0.0228130147
2020-04-03,228.7696075439,-0.0144540736,-0.0145595514
2020-04-06,244.1352081299,0.0671662672,0.0650067870
2020-04-07,244.3840026855,0.0010190851,0.0010185662
2020-04-08,252.5876770020,0.0335687861,0.0330176544
2020-04-09,256.4313964844,0.0152173674,0.0151027446
2020-04-13,254.0901336670,-0.0091301722,-0.0091721077
2020-04-14,261.5840148926,0.0294930036,0.0290664515
2020-04-15,256.0257263184,-0.0212485789,-0.0214775797
2020-04-16,257.2610168457,0.0048248688,0.0048132664
2020-04-17,264.2109680176,0.0270151741,0.0266567061
2020-04-20,259.5560607910,-0.0176181453,-0.0177751921
2020-04-21,251.6751098633,-0.0303631936,-0.0308337040
2020-04-22,257.2610168457,0.0221949123,0.0219521901
2020-04-23,257.2424926758,-0.0000720054,-0.0000720079
2020-04-24,260.8280639648,0.0139384876,0.0138422402
2020-04-27,264.5888671875,0.0144187062,0.0143157452
2020-04-28,263.3722229004,-0.0045982444,-0.0046088489
2020-04-29,270.2668457031,0.0261782459,0.0258414606
2020-04-30,267.7505187988,-0.0093105275,-0.0093541414
2020-05-01,260.6622924805,-0.0264732496,-0.0268299760
2020-05-04,261.3811950684,0.0027579846,0.0027541883
2020-05-05,263.7961425781,0.0092391785,0.0091967583
2020-05-06,262.0079650879,-0.0067786340,-0.0068017133
2020-05-07,265.1696166992,0.0120670057,0.0119947799
2020-05-08,269.5571594238,0.0165461744,0.0164107779
2020-05-11,269.6123962402,0.0002049169,0.0002048959
2020-05-12,264.2387084961,-0.0199311598,-0.0201324646
2020-05-13,259.5653686523,-0.0176860532,-0.0178443202
2020-05-14,262.6716003418,0.0119670498,0.0118960108
2020-05-15,263.8790893555,0.0045969530,0.0045864193
2020-05-18,271.9166870117,0.0304593959,0.0300047183
2020-05-19,269.1239318848,-0.0102706280,-0.0103237348
2020-05-20,273.6958007812,0.0169879686,0.0168452867
2020-05-21,271.8062744141,-0.0069037463,-0.0069276874
2020-05-22,272.3223571777,0.0018987154,0.0018969151
2020-05-26,275.6775817871,0.0123207828,0.0122454997
2020-05-27,279.7793273926,0.0148787782,0.0147691751
2020-05-28,279.2631530762,-0.0018449337,-0.0018466377
2020-05-29,280.5076293945,0.0044562854,0.0044463856
2020-06-01,281.6412963867,0.0040414836,0.0040333388
2020-06-02,283.9732360840,0.0082798216,0.0082457319
2020-06-03,287.7525024414,0.0133085301,0.0132207496
2020-06-04,286.9966735840,-0.0026266630,-0.0026301188
2020-06-05,294.3522338867,0.0256294270,0.0253064993
2020-06-08,297.9102478027,0.0120876063,0.0120151346
2020-06-09,295.6887207031,-0.0074570348,-0.0074849775
2020-06-10,294.0388488770,-0.0055797591,-0.0055953841
2020-06-11,277.0878295898,-0.0576489105,-0.0593773674
2020-06-12,280.4061279297,0.0119756192,0.0119044789
2020-06-15,283.0239257812,0.0093357370,0.0092924283
2020-06-16,288.4714355469,0.0192475239,0.0190646333
2020-06-17,287.2732238770,-0.0041536579,-0.0041623083
2020-06-18,287.3838195801,0.0003849844,0.0003849103
2020-06-19,285.7413635254,-0.0057152002,-0.0057315944
2020-06-22,287.5744628906,0.0064152398,0.0063947497
2020-06-23,288.8984375000,0.0046039367,0.0045933710
2020-06-24,281.5290527344,-0.0255085657,-0.0258395499
2020-06-25,284.5470581055,0.0107200495,0.0106629971
2020-06-26,277.7886657715,-0.0237514047,-0.0240380167
2020-06-29,281.8715820312,0.0146979224,0.0145909548
